condition,symptoms
induced abortion,"sharp abdominal pain,lower abdominal pain,intermenstrual bleeding,spotting or bleeding during pregnancy,cramps and spasms"
seasonal allergies (hay fever),"nasal congestion,frontal headache,itchiness of eye,coryza,allergic reaction"
pityriasis rosea,"skin swelling,vaginal itching,abnormal appearing skin,itching of skin,warts,skin rash"
retinopathy due to high blood pressure,"pus draining from ear,diminished vision,foreign body sensation in eye"
skin cancer,"lip swelling,abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,skin moles,skin dryness, peeling, scaliness, or roughness,warts"
multiple sclerosis,"dizziness,weakness"
otitis externa (swimmer's ear),"sore throat,cough,facial pain,fluid in ear,redness in ear"
common cold,"sore throat,vomiting,wheezing,fever"
neurosis,"anxiety and nervousness,depression,insomnia,hostile behavior,excessive anger,delusions or hallucinations"
tooth abscess,"lip swelling,facial pain,jaw swelling,neck swelling,gum pain"
parkinson disease,"dizziness,weakness,focal weakness,disturbance of memory,leg stiffness or tightness"
ischemic heart disease,"shortness of breath,sharp chest pain,dizziness,chest tightness,palpitations,throat feels tight,peripheral edema,muscle pain,lymphedema"
heart failure,"shortness of breath,chest tightness,cough,weight gain,difficulty breathing,fluid retention"
schizophrenia,"depression,depressive or psychotic symptoms,hostile behavior,temper problems,fears and phobias,low self-esteem"
stye,"skin swelling,abnormal appearing skin,eye redness,itchiness of eye,eye burns or stings,mass on eyelid,swollen eye"
neurosis,"depression,insomnia,smoking problems,excessive anger,obsessions and compulsions"
conductive hearing loss,"dizziness,hoarse voice,difficulty speaking,plugged feeling in ear,fluid in ear"
idiopathic absence of menstruation,"sharp abdominal pain,vaginal itching,lower abdominal pain,heartburn,pain or soreness of breast"
idiopathic excessive menstruation,"sharp abdominal pain,vaginal discharge,cramps and spasms,heavy menstrual flow,painful menstruation"
acute stress reaction,"anxiety and nervousness,shortness of breath,insomnia,burning abdominal pain"
smoking or tobacco addiction,"shortness of breath,sharp chest pain,cough,smoking problems,excessive anger,coughing up sputum,hurts to breath"
acute stress reaction,"depression,abnormal involuntary movements,fatigue"
vulvar disorder,"vaginal itching,pain during intercourse,vaginal discharge,vaginal pain,vulvar irritation"
skin cancer,"lip swelling,abnormal appearing skin,skin growth,warts"
sebaceous cyst,"skin swelling,abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,neck mass,arm lump or mass"
gout,"hand or finger pain,wrist swelling,knee pain,foot or toe pain,leg swelling,foot or toe swelling,ankle swelling"
ischemic heart disease,"shortness of breath,sharp chest pain,dizziness,chest tightness,peripheral edema,muscle pain,fatigue,lymphedema"
inguinal hernia,"groin mass,pain in testicles,mass in scrotum,ache all over,swollen abdomen"
rheumatoid arthritis,"peripheral edema,knee pain,ache all over,elbow swelling"
pulmonary embolism,"shortness of breath,leg pain,leg swelling,weakness,side pain,difficulty breathing,sweating"
vaginitis,"sharp abdominal pain,painful urination,pelvic pain,vaginal redness"
concussion,"difficulty speaking,nausea,double vision,disturbance of memory,rib pain"
panic disorder,"anxiety and nervousness,shortness of breath,dizziness,insomnia,abnormal involuntary movements,palpitations"
stress incontinence,"retention of urine,painful urination,involuntary urination,frequent urination,hot flashes"
acne,"abnormal appearing skin,skin moles,skin dryness, peeling, scaliness, or roughness,skin rash"
vulvodynia,"nausea,painful urination,back pain,pelvic pain,vaginal pain,side pain,cramps and spasms"
asthma,"shortness of breath,cough,nasal congestion,wheezing"
callus,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,foot or toe pain,foot or toe swelling,skin rash"
vaginal cyst,"sharp abdominal pain,lower abdominal pain,vaginal discharge,intermenstrual bleeding,pain during pregnancy,vaginal pain,spotting or bleeding during pregnancy,blood clots during menstrual periods"
laryngitis,"sore throat,difficulty speaking,cough,nasal congestion,throat feels tight,fever,coryza"
hypoglycemia,"fainting,problems with movement,weakness,decreased appetite,seizures,sleepiness"
chronic constipation,"retention of urine,blood in stool,sharp abdominal pain,vomiting,pain of the anus,changes in stool appearance,rectal bleeding"
spondylosis,"hip pain,arm pain,back pain,neck pain,low back pain,knee pain,loss of sensation,shoulder pain,ache all over"
drug abuse,"depression,abusing alcohol,smoking problems,antisocial behavior"
esophagitis,"sharp chest pain,chest tightness,difficulty in swallowing,sharp abdominal pain,nausea,heartburn"
bursitis,"leg pain,arm pain,arm swelling,elbow pain,knee swelling,shoulder pain,shoulder stiffness or tightness,elbow swelling"
hyperemesis gravidarum,"dizziness,sharp abdominal pain,headache,diarrhea,pain during pregnancy,vomiting blood"
herniated disk,"arm pain,back pain,loss of sensation,arm weakness,leg weakness"
drug abuse,"anxiety and nervousness,abusing alcohol,smoking problems"
endometriosis,"lower abdominal pain,hot flashes,burning abdominal pain,heavy menstrual flow"
conjunctivitis due to virus,"eye redness,itchiness of eye,swollen eye"
gum disease,"mouth ulcer,ear pain,fever,pain in gums"
chalazion,"skin growth,diminished vision,symptoms of eye,pain in eye,foreign body sensation in eye,eye redness,lacrimation,mass on eyelid,eyelid swelling"
prostatitis,"retention of urine,sharp abdominal pain,blood in urine,impotence"
fungal infection of the skin,"irregular appearing scalp,itching of skin,itchy scalp,too little hair"
chronic otitis media,"cough,plugged feeling in ear,painful sinuses"
intracranial hemorrhage,"depressive or psychotic symptoms,difficulty speaking,headache,diminished vision"
nose disorder,"nasal congestion,difficulty breathing,sinus congestion,painful sinuses"
blepharitis,"spots or clouds in vision,lacrimation,itchiness of eye,eye burns or stings,swollen eye,eyelid swelling"
pyogenic skin infection,"skin swelling,leg pain,skin lesion,peripheral edema,foot or toe pain,skin rash"
skin disorder,"skin swelling,acne or pimples,skin growth,irregular appearing scalp,skin moles,itching of skin,skin dryness, peeling, scaliness, or roughness"
lipoma,"skin swelling,groin mass,skin growth,neck mass,shoulder lump or mass"
bunion,"foot or toe pain,skin moles"
uterine atony,"blood in urine,intermenstrual bleeding,pain during pregnancy,spotting or bleeding during pregnancy,back cramps or spasms"
head and neck cancer,"hoarse voice,sore throat,throat feels tight,neck mass,hemoptysis"
dumping syndrome,"vomiting,knee lump or mass"
adjustment reaction,"insomnia,restlessness,excessive anger,delusions or hallucinations,fears and phobias"
hypertensive heart disease,"insomnia,chest tightness,heartburn,weakness,fatigue,recent pregnancy"
aphthous ulcer,"sore throat,headache,toothache,mouth ulcer,mouth pain"
varicocele of the testicles,"symptoms of the scrotum and testes,swelling of scrotum,pain in testicles,involuntary urination,lower abdominal pain,pain of the anus,groin pain,infertility"
sebaceous cyst,"skin swelling,skin moles,back mass or lump"
hemorrhoids,"blood in stool,sharp abdominal pain,pain of the anus,heartburn,lower body pain,changes in stool appearance,melena,rectal bleeding,constipation"
eating disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,acne or pimples,weight gain"
peripheral nerve disorder,"dizziness,leg pain,problems with movement,disturbance of memory,leg weakness"
sepsis,"shortness of breath,sharp abdominal pain,feeling ill,vomiting,decreased appetite,fever"
astigmatism,"double vision,symptoms of eye,lacrimation"
open wound of the mouth,"lip swelling,mouth ulcer,seizures"
premenstrual tension syndrome,"lower abdominal pain,back pain"
pulmonary eosinophilia,"shortness of breath,sharp chest pain,cough,paresthesia"
psychotic disorder,"depression,abusing alcohol,hostile behavior,excessive anger,temper problems,fears and phobias,hysterical behavior"
necrotizing fasciitis,"leg pain,hip pain"
tic (movement) disorder,"depressive or psychotic symptoms,headache,abnormal movement of eyelid,problems with movement"
pneumothorax,"shortness of breath,cough,side pain,shoulder pain"
angina,"sharp chest pain,dizziness,hot flashes,lower body pain,sweating"
hemorrhoids,"blood in stool,pain of the anus,heartburn,lower body pain,changes in stool appearance"
concussion,"dizziness,vomiting,nausea,double vision,back pain"
conductive hearing loss,"ear pain,ringing in ear,plugged feeling in ear,fluid in ear,redness in ear"
thoracic outlet syndrome,"sharp chest pain,hand or finger pain,decreased appetite,loss of sensation"
complex regional pain syndrome,"abnormal involuntary movements,leg pain,back pain,neck pain,low back pain,problems with movement,loss of sensation"
sciatica,"hip pain,low back pain,problems with movement,loss of sensation,leg cramps or spasms,lower body pain,unusual color or odor to urine,back cramps or spasms"
chronic glaucoma,"diminished vision,symptoms of eye,pain in eye,spots or clouds in vision,eye burns or stings,mass on eyelid"
otitis externa (swimmer's ear),"ear pain,ringing in ear,itchy ear(s),fever"
croup,"nasal congestion,vomiting,wheezing,coryza,abnormal breathing sounds,pulling at ears"
sickle cell anemia,"leg pain,pulling at ears"
sensorineural hearing loss,"dizziness,hoarse voice,nasal congestion,ear pain,plugged feeling in ear,itchy ear(s)"
pyelonephritis,"sharp abdominal pain,vomiting,painful urination,lower abdominal pain,blood in urine,side pain"
pelvic inflammatory disease,"sharp abdominal pain,nausea,painful urination,burning abdominal pain"
alcohol withdrawal,"depressive or psychotic symptoms,dizziness,abnormal involuntary movements,fainting"
threatened pregnancy,"sharp abdominal pain,lower abdominal pain,back pain,blood clots during menstrual periods"
subdural hemorrhage,"irritable infant,vomiting"
conjunctivitis due to virus,"nasal congestion,diminished vision,pain in eye,eye redness,lacrimation,itchiness of eye"
hypertensive heart disease,"sharp chest pain,insomnia,chest tightness,leg swelling,difficulty breathing"
varicocele of the testicles,"swelling of scrotum,pain in testicles,mass in scrotum,involuntary urination,pain of the anus"
arthritis of the hip,"leg pain,low back pain,knee pain,groin pain"
blepharitis,"symptoms of eye,pain in eye,spots or clouds in vision,eye redness,lacrimation,swollen eye"
